,instruction,output
1131,영화 최근에 본 거 있어? 좋은 거 추천해줘.,최근에 본 영화 중에 '인생은 아름다워'가 정말 좋았어. 추천해.
1132,요즘에 새로운 취미 시작한 거 있어?,새로운 취미로 요리를 시작했어. 재밌더라고.
1133,힘든 일 있으면 말해. 들어줄게.,"고마워, 엄마. 힘든 일 있으면 말할게. 엄마도 같은말 하고."
1134,커피는 좀 줄였어? 너무 많이 마시면 안 좋아.,커피는 요즘 조금 줄였어. 대신 허브티를 많이 마셔.
1135,항상 운동하는 거 잊지 마. 건강이 최우선이야.,"네, 운동은 계속하고 있어. 몸 건강한 것보다 중요한 건 없으니까."
1136,"오랜만에 전화했네, 잘 지냈어?","어, 아빠! 응, 나도 잘 지내고 있어."
1137,"그래, 요즘 일이 좀 바쁘긴 해도 잘하고 있어. 넌 어때?","나도 바쁜 편인데, 괜찮아. 우리 가족이니까!"
1138,그래서 점심은 먹었어?,"네, 점심은 먹었어요. 아빠는요?"
1139,나도 여기저기 바쁘니까 그냥 간단히 먹었어. 요즘 잠은 잘 자?,"아, 그래? 나 요즘 잘 못 자고 있어. 일이 좀 많아서..."
1140,"맞아, 잠이 정말 중요하더라. 오늘 날씨 어때? 추운 편이야?",여기도 꽤 춥네. 겉옷 꼭 챙겨 입고 다녀.
1141,알았어. 너야말로 감기 조심하고. 혹시 최근에 필요한 게 있어?,"응, 사실 아무것도 필요하지 않아. 다만 아빠가 건강했으면 해."
1142,근데 너 요즘 과일 먹고 있어? 내가 사과를 좀 받았는데 같이 먹자.,"오, 좋아! 사과 좋아하니까 기대할게."
1143,자기 전에 전기장판 꺼두는 거 잊지 마. 요즘 날이 춥잖아.,"응, 꼭 그렇게 할게. 걱정 마."
1144,주말에 시간 되면 같이 영화라도 볼래?,영화? 재밌겠다! 시간 괜찮을 때 알려줘.
1145,영화 좋지. 몸 상태에 따라 하자. 최근에 많이 걸었더니 피곤하긴 하더라.,알겠어. 우리 건강이 제일 중요하니까.
1146,"잠깐, 전화 잘 들리니? 지금 네트워크가 좀 불안정해 보여.","아니, 끊기는 것 같아. 조금만 기다려봐."
1147,이제 괜찮아? 요즘 통화 품질이 왜 이렇게 들쭉날쭉하지?,"이제 좋아졌어. 맞아, 요즘 통화 품질이 좀 그래."
1148,이번 주에 시간이 좀 나? 같이 저녁이라도 먹으러 갈까?,"네, 시간 날 것 같아. 저녁 함께 하면 좋을 것 같아."
1149,"근처에 새로 생긴 식당이 있다던데, 거기서 보자면 어때?","그래, 거기 좋다 들었어. 한번 가보자."
1150,점심은 뭘 좋아할지 몰라서 그냥 샌드위치 준비했어.,"샌드위치? 좋아, 고마워. 간단하게 먹기 좋겠다."
1151,이거 가져가. 네가 좋아하는 초콜릿 사 왔어.,"우와, 정말? 너무 좋아! 고마워, 아빠."
1152,물 많이 마시고 있지? 요즘 더워서 수분 보충 제대로 해야 해.,"응, 항상 챙겨 마셔. 걱정 말아."
1153,집에 모기가 많아졌더라. 모기약도 가져가.,"아, 모기약도? 좋아, 필요했는데. 고마워."
1154,이따가 저녁에 뭐 할 거야? 나랑 같이 산책이라도 갈까?,"산책? 좋아, 같이 가자. 이야기하면서 걸으면 시간도 금방 갈 것 같아."
1155,"산책 좋아. 운동도 되고, 서로 얘기도 더 할 수 있으니까.","네, 맞아. 서로 시간 보내면서 건강도 챙기고. 좋은 계획 같아."
1156,이렇게 전화해서 미안해. 최근에 너무 바빴어.,"괜찮아, 나도 요즘 무척 바쁘게 지냈어."
1157,"그래, 일이 좀 줄어들어서 다행이야. 너는 어떻게 지내?","나도 괜찮아. 조금은 바쁘지만, 여유롭게 지내려고 해."
1158,그걸 듣고 기쁘다. 혹시 오늘 아침은 거르지 않았지?,"아니, 먹었어. 충분히 영양 섭취하려고 노력 중이야."
1159,나도 그렇게 해. 그런데 요즘에 일이 너무 많아서 정신이 없어.,"맞아, 요즘 바쁘면 시간가는 줄 모르겠어. 건강은 잘 챙기고 있어?"
1160,"그래, 일찍 자는 것이 최선이야. 요즘 날씨가 갑자기 추워졌어. 감기 조심해.","응, 본격적으로 겨울이 오나봐. 나도 조심하고 있어."
1161,"잘했어, 나도 그래. 당장 필요한 게 있으면 말해줘.",지금 당장은 없어. 걱정해줘서 고마워.
1162,"알았어. 지난주에 사과를 사서 먹었는데, 아주 달고 맛있더라. 너도 좀 가져가.","정말? 사과 정말 좋아해. 고마워, 주말에 받을게."
1163,문은 닫았는지 확인했니? 요즘 바쁘다 보니 이런 걸 자꾸 잊게 돼.,"네, 문 잘 잠갔어. 네가 상기시켜줘서 항상 확인하게 돼."
1164,이번 주말에 시간이 되면 같이 쇼핑이라도 갈까?,"좋아, 오랜만에 쇼핑도 좋을 것 같아. 시간 나면 알려줘."
1165,"좋아, 날씨 좋으면 나가자. 요즘 조금 건강이 나아진 것 같아.","그래, 날씨만 좋다면 가자. 최근에 건강을 조금 더 챙기고 있어."
1166,오랜만에 어떻게 지내?,"응, 나도 바쁘지만 잘 지내고 있어. 너는 어떠니?"
1167,요즘은 어떤 책 읽고 있어? 나는 흥미로운 걸 찾고 있어.,나는 최근에 심리학 책에 빠져있어. 네가 좋아할 만한 책 추천해줄게.
1168,최근에 새로운 취미가 생겼어? 나는 정원 가꾸기에 빠졌어.,"오, 정원 가꾸기라니 정말 멋져. 나도 새로운 취미를 찾아보고 있어."
1169,집안일이 많아서 바쁘겠다. 조금이라도 도와줄 거 있어?,"응, 고마워. 지금은 괜찮지만, 뭐 필요하면 꼭 말할게."
1170,저녁은 뭐 먹었어? 나는 오늘 집밥이 그리웠어.,나는 간단하게 샐러드에 파스타 먹었어. 집밥이 그리워진 날이야.
1171,운동은 꾸준히 하고 있니? 나는 요즘 조깅을 시작했어.,나도 조금씩 해보려고 해. 조깅이 좋다고 하더라.
1172,마음 건강도 잘 챙기고 있어? 요즘 명상을 시작했다고 들었어.,"응, 명상으로 마음을 다스리려고 노력 중이야. 너도 해보는 건 어때?"
1173,"늦었지만 생일 축하해. 작은 선물 준비했어, 내일 보낼게.","아, 정말? 너무 고마워. 기대될 거 같아."
1174,뭔가 슬픈 일 있으면 언제든지 말해. 서로를 위해 여기에 있는 거야.,"네, 언제든지 이야기할 수 있어. 네가 있어서 든든해."
1175,화분에 물 주는 걸 기억했어? 이제 식물도 내 책임감을 키워가고 있어.,"아아, 물 주는 건 잊지 않았어. 식물 돌보는 것도 재미있더라고."
1176,"안녕, 어떻게 지내?","응, 나는 괜찮아. 너는 어때?"
1177,요즘 바쁘니? 일이 너무 많아 힘들지 않아?,그럭저럭 괜찮아. 가끔은 좀 바쁘긴 하지만.
1178,혹시 오늘 아침은 잘 챙겨먹었어?,"네, 아침은 잘 챙겨먹었어. 너는 뭐 먹었어?"
1179,날씨가 추워지고 있는데 건강은 잘 챙기고 있지?,"응, 비타민도 챙겨먹고 있어. 너도 감기 조심해."
1180,이번 주말에 뭐 할 계획이니?,아직 구체적인 계획은 없어. 너는 뭐할 거야?
1181,집안일은 다 처리했니? 뭔가 도와줄 거 없어?,"응, 대충 다 했어. 네가 걱정할 건 없어."
1182,최근에 좋은 일이라도 있었니?,"응, 최근에 친구들하고 재밌게 놀았어. 너는 어때?"
1183,"잊지 말고, 물도 많이 마시고, 쉬는 시간도 충분히 챙겨야 해.","네, 알아. 건강 잘 챙길게. 너도 마찬가지야."
1184,다가오는 휴일에 같이 어디 좀 가볼까?,"좋아, 어디 갈지 고민해보자."
1185,좀 더 따뜻한 옷 준비했니? 요즘 날이 많이 추워.,"응, 겨울옷 몇 벌 준비해놓았어. 너는 충분해?"
1186,"네가 좋아하는 케이크 집에서 새로운 맛이 나왔다던데, 같이 가보고 싶지 않아?","오, 좋아! 주말에 같이 가보자."
1187,집에 괜찮은 간식거리라도 있어?,"음, 간식은 별로 없는데, 같이 시장 가서 장봐야겠다."
1188,요즘 책 읽거나 영화 본 거 있니?,최근에 몇 권 읽었어. 너는 본 게 있어?
1189,주변에 감기 걸린 사람 많더라. 감기 조심해야 해.,"응, 나도 그래. 너도 조심하고."
1190,혹시 그 전에 말했던 그 일 진행된 거 있니?,아직 더 지켜봐야 할 것 같아. 너는 진척된 게 있어?
1191,차가운 바람에 건조해지기 쉬워. 보습 제품 잘 바르고 다니고 있어?,"그럼, 로션도 자주 바르고 있어. 너도 피부 관리 잘 해야 돼."
1192,이번 주말에 같이 시장이나 가볼까?,"좋아, 신선한 과일이나 채소 좀 사고 싶었어."
1193,마스크는 항상 챙겨 다니니?,"네, 물론이지. 없으면 불안해."
1194,오랜만에 집에서 영화나 보면서 편하게 쉬는 건 어때?,좋은 생각이야. 추천하는 영화 있어?
1195,요즘 나가서 스포츠는 좀 하고 다니니?,가끔은 조깅하거나 걷기 좋아. 너는?
1196,자니?,"응, 방금 일어났어."
1197,"오, 언제 깼어? 밤에 잘 잤니?","잘 잤어, 엄마. 꿈도 좋은 거 꿨어."
1198,요즘 바쁘지 않아?,조금 바쁘긴 해도 다 괜찮아. 걱정 마.
1199,수업은 어때? 잘 따라가고 있니?,수업은 재미있어. 친구들이랑도 잘 지내고 있어.
1200,이번 주말에는 뭐 할 계획이야?,주말에는 쉬려고 해. 좀 바쁜 주였거든.
1201,원래 계획한 대로 운동하러 가려고?,"응, 날씨 좋으면 조깅 좀 하려고 해."
1202,건강은 괜찮아? 아프지 않니?,건강은 걱정 마. 잘 챙기고 있어.
1203,뭐 좋아하는 거 있으면 말해봐. 사다 줄게.,"음... 책 좀 사고 싶었는데, 같이 가서 골라도 돼?"
1204,다음 주에 할머니 집에 같이 가지 않을래?,"좋아, 할머니도 오랜만에 뵙고 싶어."
1205,차가운 거 마시지 말아라. 목 아프다고 하지 않았어?,"알았어, 뜨거운 차 마실게."
1206,요즘 친구들하고 자주 만나?,가끔 만나. 공부하거나 영화 보러 가기도 해.
1207,학교에서 새로운 친구도 사귀고 있어?,"응, 몇 명 만났는데 다들 착해."
1208,가끔은 책도 읽고 있니?,가끔씩이야. 엄마가 추천해 준 책 읽고 있어.
1209,운동은 꾸준히 하고 있어?,"네, 매일 아침에 조금씩 하고 있어."
1210,최근에 본 영화 있어? 추천해줘.,"최근에 본 건 없는데, 엄마가 추천해주면 볼래."
1211,음악은 뭐 듣고 있어? 좋아하는 노래 있으면 나도 들려줘.,"새로 발견한 밴드가 있는데, 노래 좋아. 나중에 들려줄게."
1212,맛있는 거 먹고 싶은 거 있어? 내가 만들어 줄게.,파스타가 먹고 싶어. 엄마 손맛이 최고야.
1213,숙제는 다 했어?,"응, 거의 다 했어. 조금만 더 하면 돼."
1214,이번 주말에 볼 영화 정했어?,"아직 못 정했는데, 엄마랑 같이 보고 싶은 거 있어?"
1215,늦게까지 깨어있지 마. 충분히 쉬어야 해.,"알겠어, 최대한 일찍 잘게."
1216,"안녕, 오랜만이야! 요새 어떻게 지내?",안녕! 나도 꽤 바쁘게 지내. 너는 뭐하고 지내?
1217,나도 요새 바쁘기는 해. 너는 최근에 어떤 취미 활동을 해?,최근에는 요리에 빠져있어. 집에서 새로운 레시피를 시도해보는 거야.
1218,"우와, 정말 멋지다! 운동하면 기분 전환도 되고 좋지? 나는 요즘 그림 그리는 걸 배워.",정말? 그림 그리기도 재밌겠다! 나도 요새는 건강을 위해 조깅을 시작했어.
1219,"맞아, 뭔가를 새로 배우는 건 항상 재미있어. 요즘 뭐 좋아하는 음식 있어?",그럼! 요즘은 직접 빵을 굽는 걸 좋아해. 너는?
1220,"오, 그런 음식 좋아하구나. 나도 해봐야겠다. 그래, 요즘 건강은 어때?","건강 챙기려고 신경 쓰고 있어. 물론, 좋아하는 음식도 즐기면서 말이야."
1221,그래서 저녁은 벌써 먹었어?,"응, 저녁으로 샐러드를 먹었어. 넌?"
1222,난 아직 안 먹었어. 오늘은 뭘 먹을지 고민이야. 너는 최근에 본 영화 있어?,영화는 최근에 안 봤어. 영화 추천 있어?
1223,나도 그 영화 봤어. 정말 인상 깊더라. 책은? 요즘 뭐 읽고 있어?,정말? 나도 그 책에 관심이 있었어. 나중에 빌려줄 수 있어?
1224,사실 나도 책을 좀 더 읽어야겠다고 생각 중이야. 주말 계획은 세웠어?,"사실, 아직 큰 계획은 없어. 너는?"
1225,"특별한 계획은 없지만, 너 얘기 들으니 나도 바깥 활동을 해보고 싶어져.",날씨가 좋으면 자전거 타러 나가려고 해. 너도 함께 할래?
1226,여기 날씨가 요즘 좀 변덕이야. 너네 쪽은 어때?,이쪽도 비슷해. 변덕스러운 날씨 때문에 옷차림에 신경 써야 하더라고.
1227,이상하게 요즘에는 잘 못 잔단 말이야. 너는 잠 잘 자?,잠을 잘 못 자는 게 요즘 가장 큰 문제야. 넌 잘 자?
1228,의외로 내가 시도해본 것 중에 마음을 진정시키는 건 명상이야. 너도 해본 적 있어?,"명상, 좋은 방법이야. 난 아직 해보진 않았는데, 추천하는 앱 있어?"
1229,"맞아, 내 생각에도 건강이 최우선이야. 너희 집 식구들은 다 잘 있지?",다행이야. 우리 가족도 모두 잘 지내고 있어.
1230,"그렇구나. 아, 그리고 요즘 건강식품 같은 거 복용하고 있어?",건강식품은 특별히 아직 안 먹고 있어. 너는?
1231,"내가 이번에 좋은 차를 하나 구했는데, 너도 좋아할 것 같아. 너랑 나누고 싶어.",차? 정말 좋아! 너랑 나눌 수 있다면 정말 좋겠다.
1232,차 마시면서 우리 옛날 이야기도 좀 나누자. 너는 요즘 무슨 생각을 많이 해?,옛 이야기 나누는 건 언제나 좋지. 요즘 가장 고민이 되는 건 미래야.
1233,"맞아, 삶에 대해 깊게 생각하게 되는 때가 있어. 너는 지금 삶에서 가장 중요하게 생각하는 게 뭐야?",내 삶에서 가장 중요한 건 가족과 건강이야. 너는?
1234,"생각이 꽤 깊어졌네. 암튼, 다음 주에 시간 되면 만나서 이야기 더 나누고 싶어.",생각 나눌 수 있는 친구가 있다는 게 좋네. 다음 주 만나자고!
1235,"좋아, 날짜 정해지면 알려줘. 오늘 이렇게 연락하게 되어 너무 좋았어.","네, 꼭 연락할게. 오늘 밤은 잘 자!"
1236,잘 잤니?,"응, 엄마. 잘 잤어."
1237,아침은 먹었어?,"네, 먹었어. 엄마는요?"
1238,오늘 날씨 어때? 외투 챙겨야 하나?,오늘은 좀 춥다고 해. 외투 준비할게.
1239,요즘 우리 애기 건강은 어때?,당분간은 건강히 잘 지내고 있어.
1240,책임감 있는 일 처리 방법을 알고 있지?,"응, 엄마, 걱정 마. 모든 일 잘 처리하고 있어."
1241,최근에 좋은 소식 있어?,"그럼, 사람들과 잘 지내고 있으니까 매일이 새로워."
1242,저녁 식사 메뉴는 정했어?,아직 못 정했어. 엄마는 뭐 먹고 싶어?
1243,휴일에는 뭐 할 거야?,아마 집에서 편히 쉴 거 같아요.
1244,좋아하는 영화나 드라마 최근에 본 거 있어?,"최근에 본 게 없는데, 엄마는 뭐 좋아하는 거 있어?"
1245,몸은 좀 어때? 요즘 피로하진 않니?,조금 피곤하기는 해. 조금 일찍 자야겠어.
1246,잠은 충분히 자고 있어?,"응, 될 수 있으면 8시간은 자려고 해."
1247,최근에 친구들 만나서 재미있는 일 없었어?,친구들하고 이야기하다 보면 항상 재밌어.
1248,"이번 주말에 같이 시장에 가서 장 보자, 어때?","좋아, 주말에 시장 가는 것도 즐거울 거 같아."
1249,오늘은 특별한 계획 있어?,"아니, 특별한 건 없어. 그냥 평범한 하루야."
1250,"야, 너무 늦게까지 일하지 마.","알았어, 늦지 않게 오늘은 일찍 끝낼게."
1251,물 많이 마셔. 건강이 제일 중요하니까.,"걱정 마, 엄마. 난 항상 물도 잘 마셔."
1252,오늘은 좀 일찍 자. 충분한 휴식도 필요해.,알겠어. 오늘은 일찍 잘게.
1253,집에 꼭 필요한 물건 있으면 말해봐.,"음, 사실 이불이 좀 낡았어. 새로운 거 필요할 것 같아."
1254,요즘 취미 생활은 뭐하고 있어?,음악 듣기랑 책 읽기야. 요즘에는 더 많이 하고 있어.
1255,종종 부모님께도 전화 한번 해.,"그래, 엄마. 오늘도 전화해서 안부 물어볼게."
1256,"안녕, 오랜만이야. 어떻게 지냈어?","응, 바쁘긴 했지만 괜찮아."
1257,그렇구나. 요즘에 취미 생활은 해?,"그래, 요즘엔 그림 그리는 취미가 생겼어."
1258,재밌겠다. 요즘 건강은 어때?,꽤 괜찮아. 운동도 꾸준히 하고 있어서.
1259,"그렇구나, 건강이 최고야. 아침 식사는 했어?","네, 잘 챙겨 먹었어. 너는?"
1260,요즘 날씨가 많이 추워. 따뜻하게 입고 다니고 있지?,"응, 추우니까 옷 늘 따뜻하게 입고 다녀."
1261,잘하고 있어. 집에 필요한 건 다 있어?,"응, 크게 필요한 건 없는 것 같아."
1262,"좋아, 필요한 거 있으면 말해줘. 야, 요즘에 좋은 영화 봤어?","나도 최근에 한 영화 봤는데, 정말 감동적이었어."
1263,그 영화 정말 좋더라. 주말 계획은 있어?,아직 큰 계획은 없어. 너는?
1264,"그래, 주말에 같이 어디 갈까?","좋아, 함께 야외로 나가는 건 언제나 좋지."
1265,"좋아, 야외로 나가보자. 여행 준비는 다 됐어?","네, 거의 다 준비 했어. 너는?"
1266,이번 주말에도 운동 하러 갈 거야?,"응, 늘 그렇듯이 운동하러 갈 거야."
1267,운동도 중요하지. 건강 신경 많이 쓰고 있구나.,"그래, 건강은 정말 중요하니까."
1268,최근에 새로운 음악 들은 거 있어?,"있어, 최근에 정말 좋은 음악 발견했어."
1269,나도 들어봐야겠다. 요즘 책은 읽고 있어?,"응, 요즘에 책도 조금씩 읽고 있어."
1270,읽고 있는 책 추천해줄 수 있어?,너한테 맞을 만한 책 생각나. 다음에 알려줄게.
1271,"좋아, 꼭 읽어볼게. 너는 최근에 어떤 책 읽었어?",나는 최근에 역사 관련 책을 읽었어.
1272,그 책 나도 읽었는데 정말 좋더라. 요즘 커피 좋아하는 거 마셔?,나도 그 책 좋아. 요즘은 주로 티를 마시고 있어.
1273,"맞아, 그 커피 정말 맛있지. 어제 잠 잘 잤어?","그래, 잘 잤어. 너는 어땠어?"
1274,잠도 중요하지. 부족하면 몸이 힘들어.,"응, 그래서 요즘은 정말 잠을 충분히 자려고 해."
1275,좋은 아침 식사는 했어? 건강한 식사가 중요하잖아.,"응, 아침에 과일과 요거트 먹었어. 너는?"
1276,어떻게 지내? 건강한가?,"응, 괜찮아. 엄마 건강은 어때?"
1277,아침은 꼭 챙겨먹고 있니?,"응, 아침은 잘 챙겨먹고 있어."
1278,집은 깨끗하게 유지하고 있지?,"네, 매일 청소하고 정리하려고 노력해."
1279,마스크도 잘 쓰고 다니고 있어?,"그럼, 나도 건강 조심하고 다녀."
1280,최근에 병원에는 안 갔지?,최근에는 별로 안 갔어. 건강하려고 노력 중이야.
1281,책 좀 읽으면서 시간 보내? 지루하지 않게.,"가끔 책도 읽고, 영화도 보면서 지내."
1282,야채와 과일은 충분히 섭취하고 있니?,"네, 야채는 늘 집에 챙겨 두고 먹고 있어."
1283,"요즘 세상이 많이 어수선한데, 걱정되지 않아?","걱정 많이 되지만, 조심하고 있어."
1284,하루에 물은 충분히 마시고 있니?,웬만하면 물 많이 마시려고 해.
1285,주말에는 주로 무엇을 하며 시간을 보내?,주말에는 쉬거나 가볍게 운동해.
1286,우산 챙겼어? 오늘 비 온다던데.,"어, 우산 챙겼어. 엄마는?"
1287,저녁은 뭐 먹을 생각이야?,저녁은 아직 고민 중이야. 엄마가 추천해줬던 그 요리 해볼까 해.
1288,공기질은 어때? 외출해도 괜찮겠니?,공기질 확인하고 외출할게. 마스크는 필수로 쓰고.
1289,요즘 친구들은 자주 만나?,"간간이 만나긴 하지만, 주로 온라인으로 소통해."
1290,운동은 꾸준히 하고 있어?,매일 조금씩은 운동하려고 노력 중이야.
1291,취미 생활은 어떻게 지내고 있어?,취미 생활로 요리에 손을 대기 시작했어.
1292,잠은 충분히 자고 있니?,최근에는 슬립 앱을 써서 잠자리 습관을 개선했어.
1293,스트레스 관리는 잘하고 있어?,스트레스 받을 때는 명상이나 산책으로 해소해.
1294,이번 주말 계획은 뭐야?,이번 주말엔 아무 계획 없어. 푹 쉬려고.
1295,다음에 만날 때 뭐 먹고 싶은지 생각해 봐.,다음에 만날 때는 엄마가 좋아하는 한식 먹고 싶어.
1296,잠에서 깼니?,"아니, 조금 전에 일어났어. 엄마는 어때?"
1297,오늘 아침에는 뭐 먹었어?,아직 안 먹었어. 엄마는 식사했어?
1298,그래도 몸은 건강해? 얼굴이 좀 창백해 보여서.,"괜찮아, 조금 바쁜 탓에 그런 거 같아. 걱정 말아요."
1299,최근에 운동은 해? 몸 움직이는 건 중요하니까.,요즘은 간단하게 집에서 운동해. 엄마도 건강 챙기시고요.
1300,이번 주말에는 뭐 할 계획이야?,아직 계획은 없어. 엄마랑 뭔가 하고 싶어.
1301,집은 항상 깨끗하게 유지하고 있니? 정리 정돈 잘 하고 있는 거 맞지?,"응, 매일 청소하려고 노력 중이야. 엄마도 집 깨끗하게 유지하는 거 알아."
1302,날씨가 많이 쌀쌀해졌어. 감기 조심해야 해.,"맞아, 옷 따뜻하게 입고 다녀. 엄마도 감기 조심해."
1303,최근에 본 영화 있어? 재미있는 거 추천해줘.,최근에 재밌는 영화 봤어. 엄마도 좋아할만한데 같이 보자.
1304,커피는 최근에 마셨어? 카페인이 너무 많으면 안 좋아.,"이번 주는 딱 한 번 마셨어. 걱정 마, 엄마."
1305,책 읽는 습관은 아직도 유지하고 있니?,"네, 책 읽는 건 여전히 좋아해. 엄마도 책 강추해줘."
1306,수면 시간은 충분해? 요즘 늦게 자는 거 아니지?,잠은 충분히 자려고 해. 엄마도 충분히 주무세요.
1307,물은 하루에 충분히 마시고 있어? 탈수 현상 조심해야 해.,매일 물 많이 마시려고 해. 엄마도 자주 마시고 있죠?
1308,좋아하는 음악 최근에 들은 거 있어?,최근에 좋아하는 노래 많이 나와서 자주 듣고 있어.
1309,친구들과는 자주 만나고 지내?,친구들과는 가끔씩 만나. 엄마는 어때?
1310,요즘 스트레스 받는 일 없어?,일 때문에 좀 그래도 괜찮아. 엄마 응원 덕분에 힘내.
1311,취미 생활은 잘 유지하고 있어?,취미 생활도 잘 유지하고 있어. 엄마도 뭔가 새로 시작해보세요.
1312,다음 주 계획 있어? 무슨 일이든 엄마한테 말해줘.,다음 주엔 특별한 계획은 없어. 엄마랑 뭔가 할 수 있다면 좋겠어.
1313,주변에 도움이 필요한 사람 없어? 서로 돕는 것도 중요하니까.,주변에 연락 좀 해보고 도울 일 있나 물어볼게. 엄마도 좋은 사람이야.
1314,요즘 무엇 때문에 가장 행복해?,가족들과 함께 시간 보내는 거. 엄마도 같이 행복하길 바라.
1315,곧 다가오는 공휴일에는 뭐 할 거야?,공휴일이면 엄마랑 같이 시간 보낼 계획이야. 좋은 생각 있어요?
1316,날씨가 많이 추워졌어. 따뜻하게 입고 다녔니?,"응, 엄마 덕분에 항상 충분히 입고 다녀. 걱정 마."
1317,요즘 건강은 어때? 제대로 챙겨 먹고 있어?,건강하게 잘 먹으려고 노력 중이야. 엄마가 해준 반찬도 잘 먹고 있어.
1318,감기 조심해야 해. 요즘 주변에 감기 걸린 사람이 많더라.,"네, 엄마. 마스크도 잘 쓰고 다닐게. 엄마도 감기 조심해야 해."
1319,집 안은 따뜻하니? 난방 잘 되고 있는 거 맞지?,"난방 잘 돼서 집안은 따뜻해. 걱정 마, 엄마."
1320,오늘은 푹 쉬는 날이니? 바쁘지 않아?,오늘은 한가로워서 좀 쉴 생각이야. 엄마도 푹 쉬어.
1321,요즘 운동은 해? 건강을 위해서라도 조금씩이라도 해야 해.,가볍게라도 운동하려고 애쓰고 있어. 걷기라도 하루에 조금씩 하고 있어.
1322,식사는 거르지 않고 하고 있니? 바빠서 식사를 거르는 건 건강에 안 좋아.,"엄마, 걱정 마. 식사 규칙적으로 잘 하고 있어."
1323,최근에 본 좋은 영화 있어? 나한테도 추천 좀 해줘.,최근에 본 영화 중에 정말 좋았던 게 있어. 주말에 같이 볼까?
1324,주말에 시간 어떻게 보낼 생각이야? 특별한 계획 있어?,주말에는 친구들 만나기로 했어. 간단하게 저녁이나 같이 먹으려고.
1325,금방 추워진 탓에 옷장 정리를 했어. 너는 겨울옷 준비 다 했어?,아직 겨울옷을 다 못 꺼냈어. 조만간 옷장 정리할게.
1326,좋아하는 음식 있으면 말해봐. 이번 주말에 만들어 볼게.,"엄마, 내가 좋아하는 음식은 엄마가 늘 만들어 주는 거야."
1327,커피는 아직도 많이 마시고 있니? 카페인 때문에 잠 못 이루진 않니?,커피는 좀 줄였어. 잠을 위해서라도 카페인 조절 중이야.
1328,최근에 읽은 책 중에 인상 깊었던 거 있어? 나도 뭐 좀 읽고 싶은데.,최근에 읽은 책 중에 하나 추천해 줄게. 이야기가 깊이 있는 거였어.
1329,휴대폰은 잘 작동하고 있어? 요즘 모델 괜찮은 거 많던데.,휴대폰은 아직 괜찮아. 조금 더 쓸 수 있을 거 같아.
1330,근처에 새로 생긴 카페 가봤어? 분위기가 괜찮다던데.,아직 그 카페는 못 가봤어. 엄마랑 같이 한번 가보자.
1331,바쁜 와중에도 건강검진은 꼭 받아. 건강이 최우선이야.,"알았어, 엄마. 건강검진도 알아보고 시간 내서 꼭 받을게."
1332,난 요즘 새로운 취미를 찾고 있어. 너는 뭐가 재미있어?,나는 요즘 사진 찍는 게 재밌더라. 엄마는 뭐가 재미있어?
1333,마음이 조금 힘들 때는 어떻게 해? 좋은 스트레스 해소법이 있으면 나눠 줘.,힘들 때는 책을 읽거나 음악을 들어. 엄마는 보통 뭐 하시는데?
1334,긴장을 푸는 좋은 방법 알고 있어? 요즘 좀 긴장될 때가 많아서.,긴장 풀 때는 호흡 조절이나 명상을 해. 엄마도 시도해 봐.
1335,내가 만든 반찬 건강에 좋고 맛있을 거야. 식사때 가져가.,"엄마, 너무 고마워. 엄마가 만든 음식은 항상 제일이야."
1336,잘 잤니?,"응, 엄마. 잘 잤어. 엄마는 어때?"
1337,날씨가 조금 쌀쌀한 거 같아. 감기 조심해야 해.,"그래, 따뜻하게 입고 다녀. 걱정 마."
1338,아침은 먹었어?,"네, 아침은 먹었어. 엄마는요?"
1339,최근에 뭐 재밌는 일 있었니?,"음, 별다른 건 없고 그저그래. 엄마는?"
1340,오늘은 좀 어떠니? 기분이 괜찮아?,오늘은 기분이 좋아. 엄마는 요즘 기분 어때?
1341,저녁에 뭐 먹고 싶은 거 있어?,아직 모르겠어. 엄마가 추천해 줄 거 있어?
1342,추운데 따뜻한 차라도 마셔. 감기 끌리기 쉬워.,알았어. 집에 가서 따뜻한 차 마실게.
1343,주말 계획은 세웠어?,아직 잘 몰라. 엄마랑 같이 뭐할까?
1344,"그 동안 많이 바쁜 거 같던데, 건강은 괜찮아?",조금 바쁘긴 해도 건강은 괜찮아. 엄마는요?
1345,잠은 충분히 자고 있니?,최대한 8시간은 자려고 해. 엄마도 충분히 쉬어야 해.
1346,요즘 운동은 해?,가끔 집 앞에서 조깅해. 엄마는 운동 해?
1347,책 좀 읽어? 최근에 읽은 책 중에 추천해 줄 만한 거 있니?,최근에 재밌게 읽은 책 있어. 엄마한테도 추천해 줄게.
1348,TV 드라마 요즘 뭐 보니?,요즘엔 드라마 별로 안 봐. 엄마는 뭐 보고 있어?
1349,음악은 요즘 무슨 장르 들어?,"많이 섞어 듣지만, 최근엔 재즈에 빠졌어. 엄마는 무슨 음악 좋아해?"
1350,가끔은 혼자만의 시간도 필요하지 않니?,"응, 가끔은 그런 시간도 필요해. 엄마는 어때?"
1351,친구들은 자주 만나니?,간간이 만나. 엄마 친구들은 잘 지내?
1352,여행 가고 싶은 곳 있어?,유럽쪽으로 여행 가고 싶어. 엄마는 어디 가고 싶어?
1353,최근에 스트레스는 없니?,일이 좀 바빠서 그럴 때가 있어. 엄마는 스트레스 받은 거 없어?
